"Wanderungen zwischen Deutschland und dem Ausland:
Deutschland, Jahre, Nationalität, Geschlecht, Altersjahre";;;;;;;;;;;;;;;;;;;;;;;;;;;
Wanderungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Jahr
Altersjahre";Deutsche;;;;;;;;;Ausländer;;;;;;;;;Insgesamt;;;;;;;;
;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;;männlich;;;weiblich;;;Insgesamt;;
;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo;Zuzüge aus dem Ausland;Fortzüge in das Ausland;Wanderungssaldo
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;
unter 1 Jahr;946;519;427;853;523;330;1799;1042;757;2308;766;1542;2266;727;1539;4574;1493;3081;3254;1285;1969;3119;1250;1869;6373;2535;3838
1-Jährige;1456;1466;-10;1416;1341;75;2872;2807;65;5701;2650;3051;5157;2479;2678;10858;5129;5729;7157;4116;3041;6573;3820;2753;13730;7936;5794
2-Jährige;1209;1470;-261;1080;1385;-305;2289;2855;-566;5746;3005;2741;5502;2698;2804;11248;5703;5545;6955;4475;2480;6582;4083;2499;13537;8558;4979
3-Jährige;1057;1398;-341;1079;1424;-345;2136;2822;-686;5625;2862;2763;5360;2654;2706;10985;5516;5469;6682;4260;2422;6439;4078;2361;13121;8338;4783
4-Jährige;927;1364;-437;940;1294;-354;1867;2658;-791;5509;2665;2844;5076;2574;2502;10585;5239;5346;6436;4029;2407;6016;3868;2148;12452;7897;4555
5-Jährige;960;1395;-435;867;1377;-510;1827;2772;-945;5391;2570;2821;4980;2272;2708;10371;4842;5529;6351;3965;2386;5847;3649;2198;12198;7614;4584
6-Jährige;879;1645;-766;836;1508;-672;1715;3153;-1438;5265;2495;2770;4805;2333;2472;10070;4828;5242;6144;4140;2004;5641;3841;1800;11785;7981;3804
7-Jährige;912;1349;-437;796;1242;-446;1708;2591;-883;5025;2083;2942;4578;1868;2710;9603;3951;5652;5937;3432;2505;5374;3110;2264;11311;6542;4769
8-Jährige;802;1068;-266;776;1023;-247;1578;2091;-513;4642;1675;2967;4251;1669;2582;8893;3344;5549;5444;2743;2701;5027;2692;2335;10471;5435;5036
9-Jährige;727;1001;-274;762;1006;-244;1489;2007;-518;4545;1687;2858;4217;1583;2634;8762;3270;5492;5272;2688;2584;4979;2589;2390;10251;5277;4974
10-Jährige;684;990;-306;707;902;-195;1391;1892;-501;4367;1533;2834;4001;1498;2503;8368;3031;5337;5051;2523;2528;4708;2400;2308;9759;4923;4836
11-Jährige;680;933;-253;631;835;-204;1311;1768;-457;4403;1591;2812;3952;1385;2567;8355;2976;5379;5083;2524;2559;4583;2220;2363;9666;4744;4922
12-Jährige;675;859;-184;661;868;-207;1336;1727;-391;4317;1440;2877;3789;1375;2414;8106;2815;5291;4992;2299;2693;4450;2243;2207;9442;4542;4900
13-Jährige;581;803;-222;582;754;-172;1163;1557;-394;4149;1374;2775;3647;1387;2260;7796;2761;5035;4730;2177;2553;4229;2141;2088;8959;4318;4641
14-Jährige;588;709;-121;607;749;-142;1195;1458;-263;4228;1287;2941;3399;1307;2092;7627;2594;5033;4816;1996;2820;4006;2056;1950;8822;4052;4770
15-Jährige;643;710;-67;586;692;-106;1229;1402;-173;4308;1380;2928;3574;1319;2255;7882;2699;5183;4951;2090;2861;4160;2011;2149;9111;4101;5010
16-Jährige;640;677;-37;623;663;-40;1263;1340;-77;5305;1497;3808;3565;1317;2248;8870;2814;6056;5945;2174;3771;4188;1980;2208;10133;4154;5979
17-Jährige;711;728;-17;664;661;3;1375;1389;-14;5206;1630;3576;3668;1366;2302;8874;2996;5878;5917;2358;3559;4332;2027;2305;10249;4385;5864
